data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1632391,562,NIR622,622,4-Jun-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,1,Reuters; Actu Niger; APA,Subnational-International,"On June 4, three presumed Boko Haram suicide bombers detonated their explosive belts at three separate locations including a quaranic school in the Diffa Koura area of Diffa, killing 10 people and wounding 37 others.",13,1528732355,NER
1618068,562,NIR621,621,28-May-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,GATIA: Imghad Tuareg and Allies Self-Defense Group,3,Civilians (Niger),Fulani Ethnic Group (Mali),7,37,Western Africa,Niger,Tillabery,Filingue,Abala,Tiguezefen,15.2134,3.3609,2,Menastream,Other,"On May 28, a young Fulani herdsman was abducted by individuals described as MSA-GATIA militiamen in the area of Tiguezefen, Tillabery, between Abala and Anderamboukane, no news about the fate of the abductee.",0,1528119778,NER
1607895,562,NIR620,620,18-May-18,2018,1,Violence against civilians,GATIA: Imghad Tuareg and Allies Self-Defense Group,,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Tillabery,Ayorou,Haguaye Peul,15.0485,1.1759,1,RFI; Menastream,Other-International,"On May 18, presumed GATIA militiamen attacked the Fulani village of Haguaye Peul, killing seventeen villagers including women and children and wounding one severely.",17,1526931416,NER
1639748,562,NIR626,626,14-May-18,2018,1,Strategic development,Police Forces of Niger (2011-),,1,,,0,10,Western Africa,Niger,Tahoua,Tahoua,Tahoua,Tahoua,14.8888,5.2692,2,Air Info Agadez,Subnational,"Weapons seizure: On May 14, the Nigerien police discovered a significant arms and ammunition cache on the outskirts of Tahoua.",0,1529947889,NER
1603363,562,NIR619,619,10-May-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Tillabery,Filingue,Imanan,Inatess,13.9688,3.1982,2,Menastream,Other-Local,"On May 10, unknown gunmen attacked a transport vehicle carrying marketgoers in the area of Agay, between In-Ates and Ayorou, Tillabery Region, three passengers were shot dead and others stripped of their belongings.",3,1526319991,NER
1859731,562,NIR654,654,10-May-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Tillabery,Filingue,Imanan,Inatess,15.2275,1.3135,2,Menastream,Other-Local,"On May 10, unknown gunmen attacked a transport vehicle carrying marketgoers in the area of Agay, between In-Ates and Ayorou, Tillabery Region, three passengers were shot dead and others stripped of their belongings.",3,1537223010,NER
1603362,562,NIR618,618,29-Apr-18,2018,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Military Forces of Niger (2011-),,1,12,Western Africa,Niger,Diffa,Diffa,Diffa,Ngagam,13.5631,12.8587,2,Anadolu Agency; ActuNiger,National,"On April 29, presumed Boko Haram (ISWA) members attacked a Nigerien army position between Ngagam and Garin Wanzam, three soldiers were killed in the attack and several vehicles seized by the assailants.",3,1526319991,NER
1600167,562,NIR615,615,28-Apr-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Filingue,Abala,Ekrafane,15.3878,3.5722,2,Menastream,Other-Local,"Between April 26 and 28, MSA militiamen attacked several encampments and wells in the area of Efrakane, killing 44 individuals of the Fulani community.",14,1525715434,NER
1600166,562,NIR614,614,27-Apr-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Filingue,Abala,Ekrafane,15.3878,3.5722,2,Menastream,Other-Local,"Between April 26 and 28, MSA militiamen attacked several encampments and wells in the area of Efrakane, killing 44 individuals of the Fulani community.",15,1525715434,NER
1600165,562,NIR613,613,26-Apr-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Filingue,Abala,Ekrafane,15.3878,3.5722,2,Menastream,Other-Local,"Between April 26 and 28, MSA militiamen attacked several encampments and wells in the area of Efrakane, killing 44 individuals of the Fulani community.",15,1525715434,NER
1603361,562,NIR617,617,18-Apr-18,2018,1,Riots/Protests,Rioters (Niger),,5,Police Forces of Niger (2011-),,1,15,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,TV5Monde,Subnational,"On April 18, university students in Niamey demanding the reinstatement of five classmates suspended in March clashed with security forces who fired teargas to disperse to protesters, many students were injured, some severely.",0,1526319991,NER
1600164,562,NIR612,612,16-Apr-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (Niger),,7,27,Western Africa,Niger,Tillabery,Filingue,Kourfeye,Ronfon,14.5482,3.0795,2,Menastream; Studio Kalangou; Aniamey,Other-Local,"On April 16, two presumed ISGS militants killed a merchant in the village of Rounfou, villagers who pursued the assailants while awaiting security forces were ambushed a few kilometers from the village of Margou, seven young men were killed, stripped of their belongings and had their motorbikes burned.",8,1525715434,NER
1603360,562,NIR616,616,15-Apr-18,2018,1,Riots/Protests,Rioters (Niger),,5,Police Forces of Niger (2011-),,1,15,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,Crisis Watch,Subnational,"On April 15, prostesters demonstrating against fiscal measures in the 2018 budget clashed with security forces in Niamey, three civil society leaders were also arrested.",0,1526319991,NER
1346399,562,NIR611,611,11-Apr-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (International),Aid Workers (Germany),7,27,Western Africa,Niger,Tillabery,Filingue,Imanan,Inatess,13.9688,3.1982,2,Menastream; Agence France Presse,Other-International,"On April 11, presumed ISGS militants abducted a German aid worker about 25km south of In-Ates. The vehicle he was travelling in together with his associates was set on fire.",0,1524053812,NER
1859730,562,NIR653,653,11-Apr-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (International),Aid Workers (Germany),7,27,Western Africa,Niger,Tillabery,Filingue,Imanan,Inatess,15.2275,1.3135,2,Menastream; Agence France Presse,Other-International,"On April 11, presumed ISGS militants abducted a German aid worker about 25km south of In-Ates. The vehicle he was travelling in together with his associates was set on fire.",0,1537223010,NER
1346776,562,NIR610,610,6-Apr-18,2018,1,Battle-No change of territory,MSA: Movement for Azawad Salvation,GATIA: Imghad Tuareg and Allies Self-Defense Group; Military Forces of Niger (2011-),3,Islamic State (Greater Sahara),,2,23,Western Africa,Niger,Tillabery,Tillabery,Ayorou,Tin Ndiar,14.8313,1.2042,2,Menastream,Other,"On April 6, MSA and GATIA militiamen in cooperation with the Nigerien army killed four presumed ISGS militants in the area of Tin-Ndiar on April 6, the coalition also announced to have arrested 15 presumed ISGS militants and seized arms and ammunition in continued operations in the areas of Anderamboukane, Tongo Tongo and Tchingora on April 6-7.",4,1524053813,NER
1347542,562,NIR609,609,1-Apr-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,,3,Civilians (Mali),Fulani Ethnic Group (Mali),7,37,Western Africa,Niger,Tillabery,Filingue,Abala,Aboyok,15.0188,3.1061,2,Menastream,Other,"On April 1, MSA militiamen attacked Fulani herders in the area of the pond of Aboyok, four herdsmen were killed and others arrested.",4,1524053813,NER
1348523,562,NIR608,608,26-Mar-18,2018,1,Battle-No change of territory,Military Forces of Niger (2011-),,1,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Niger,Diffa,Toumour,Toumour,Toumour,13.6669,13.1198,2,Xinhua,International,"On March 26, National Guard forces killed two Boko Haram militants in the area of Toumour, the militants had been involved in an attack four days earlier which had killed at least five civilians.",2,1524053814,NER
1348718,562,NIR607,607,25-Mar-18,2018,1,Riots/Protests,Protesters (Niger),,6,Police Forces of Niger (2011-),,1,16,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,RFI; Agence France Presse,International,"On March 25, people took to the streets in Niamey to protest against new taxes, the protest deemed illegal by authorities was broken up by security forces who dispersed the crowd and carried out arrests, several civil society leaders were also arrested.",0,1524053814,NER
